"ユーザー名","認証方法","認証結果","認証時刻","IPアドレス","場所"
"山田jiro@company.com","MFA (Phone)","成功","2025-06-16 02:31:14","193.106.157.74","Seattle, US"
"高橋miyuki@company.com","FIDO2","成功","2025-06-14 11:31:14","193.180.178.129","London, UK"
"佐藤hanako@company.com","パスワードのみ","成功","2025-06-13 10:31:14","196.224.128.78","名古屋, 日本"
"加藤masayuki@company.com","パスワードのみ","成功","2025-06-11 05:31:14","192.100.28.154","London, UK"
"鈴木ichiro@company.com","MFA (Phone)","成功","2025-06-16 06:31:14","196.84.163.125","福岡, 日本"
"高橋miyuki@company.com","Windows Hello","成功","2025-06-15 00:31:14","200.211.56.190","東京, 日本"
"吉田minako@company.com","FIDO2","成功","2025-06-13 06:31:14","195.70.93.162","福岡, 日本"
"高橋miyuki@company.com","MFA (SMS)","成功","2025-06-15 13:31:14","199.14.238.184","London, UK"
"渡辺hiroshi@company.com","MFA (App)","成功","2025-06-14 03:31:14","195.155.137.105","福岡, 日本"
"中村koichi@company.com","MFA (SMS)","成功","2025-06-15 05:31:14","196.122.73.125","大阪, 日本"
"佐藤hanako@company.com","FIDO2","成功","2025-06-13 23:31:14","195.120.134.116","Seattle, US"
"加藤masayuki@company.com","MFA (App)","成功","2025-06-11 15:31:14","194.50.28.108","札幌, 日本"
"小林yumi@company.com","MFA (App)","成功","2025-06-12 17:31:14","197.181.24.121","大阪, 日本"
"中村koichi@company.com","FIDO2","成功","2025-06-12 12:31:14","197.59.65.127","札幌, 日本"
"鈴木ichiro@company.com","FIDO2","成功","2025-06-12 19:31:14","199.71.44.168","札幌, 日本"
"加藤masayuki@company.com","パスワードのみ","成功","2025-06-09 19:31:14","201.7.22.110","札幌, 日本"
"佐藤hanako@company.com","MFA (App)","成功","2025-06-10 18:31:14","192.31.154.176","仙台, 日本"
"田中taro@company.com","パスワードのみ","成功","2025-06-11 16:31:14","202.134.96.44","東京, 日本"
"山田jiro@company.com","MFA (Phone)","成功","2025-06-10 17:31:14","199.80.193.100","札幌, 日本"
"高橋miyuki@company.com","MFA (Phone)","失敗","2025-06-12 17:31:14","197.253.120.62","仙台, 日本"
"加藤masayuki@company.com","Windows Hello","失敗","2025-06-10 04:31:14","202.154.190.161","名古屋, 日本"
"加藤masayuki@company.com","MFA (App)","成功","2025-06-12 00:31:14","196.169.50.56","東京, 日本"
"吉田minako@company.com","MFA (App)","成功","2025-06-14 06:31:14","195.159.164.63","Seattle, US"
"小林yumi@company.com","MFA (App)","成功","2025-06-11 13:31:14","199.187.71.171","札幌, 日本"
"佐藤hanako@company.com","MFA (App)","成功","2025-06-11 04:31:14","193.104.28.50","札幌, 日本"
