"ログイン日時","ユーザー","アプリケーション","認証状態","IPアドレス","クライアント","場所","リスク詳細","デバイス OS","ブラウザ"
"2025/06/24 12:00:09","user1@tenant.onmicrosoft.com","Exchange Online Protection","Success","151.158.95.90","Browser","Tokyo, Japan","none","macOS","Chrome"
"2025/06/24 11:35:09","guest_user@external.com","SharePoint Online","Success","133.196.67.117","Browser","New York, United States","none","Windows 10","Edge"
"2025/06/24 00:12:09","service_account@tenant.onmicrosoft.com","Microsoft 365","Success","164.128.180.15","Browser","Tokyo, Japan","none","macOS","Edge"
"2025/06/24 12:03:09","guest_user@external.com","Microsoft Teams","Success","128.171.145.53","Browser","London, United Kingdom","none","Windows 10","Chrome"
"2025/06/24 02:53:09","manager@tenant.onmicrosoft.com","Microsoft Teams","Success","194.166.240.57","Browser","London, United Kingdom","none","macOS","Safari"
"2025/06/24 06:23:09","guest_user@external.com","SharePoint Online","Success","108.152.58.252","Browser","New York, United States","none","Android","Firefox"
"2025/06/23 17:56:09","guest_user@external.com","Microsoft 365","Success","123.117.245.175","Browser","Tokyo, Japan","none","Android","Chrome"
"2025/06/24 11:30:09","manager@tenant.onmicrosoft.com","Azure Portal","Success","101.142.4.18","Browser","Osaka, Japan","none","iOS","Edge"
"2025/06/24 13:09:09","user1@tenant.onmicrosoft.com","Exchange Online Protection","Success","132.147.54.226","Browser","Tokyo, Japan","none","Android","Chrome"
"2025/06/24 10:02:09","admin@tenant.onmicrosoft.com","Microsoft 365","Success","162.102.34.240","Browser","Osaka, Japan","none","Android","Safari"
"2025/06/23 22:44:09","manager@tenant.onmicrosoft.com","Microsoft 365","Success","178.176.58.245","Browser","New York, United States","none","macOS","Chrome"
"2025/06/24 06:49:09","admin@tenant.onmicrosoft.com","Microsoft 365","Success","192.127.236.25","Browser","Tokyo, Japan","none","iOS","Edge"
"2025/06/24 07:39:09","service_account@tenant.onmicrosoft.com","Microsoft Teams","Success","160.117.26.122","Browser","London, United Kingdom","none","macOS","Edge"
"2025/06/23 19:50:09","admin@tenant.onmicrosoft.com","Azure Portal","Success","127.128.155.210","Browser","London, United Kingdom","none","iOS","Chrome"
"2025/06/24 04:59:09","guest_user@external.com","Microsoft 365","Success","188.196.30.74","Browser","New York, United States","none","Android","Firefox"
"2025/06/24 01:44:09","admin@tenant.onmicrosoft.com","Microsoft 365","Failure","137.125.236.156","Mobile Apps and Desktop clients","London, United Kingdom","aiConfirmedSigninSafe","macOS","Safari"
"2025/06/24 14:12:09","guest_user@external.com","SharePoint Online","Success","115.195.250.236","Browser","Osaka, Japan","none","iOS","Firefox"
"2025/06/23 21:01:09","manager@tenant.onmicrosoft.com","Microsoft 365","Success","134.135.158.70","Browser","London, United Kingdom","none","Android","Firefox"
"2025/06/24 09:52:09","manager@tenant.onmicrosoft.com","SharePoint Online","Failure","100.103.85.141","Mobile Apps and Desktop clients","London, United Kingdom","aiConfirmedSigninSafe","Android","Safari"
"2025/06/23 22:15:09","manager@tenant.onmicrosoft.com","SharePoint Online","Success","115.140.232.40","Browser","New York, United States","none","Android","Firefox"
