"ID","ユーザー名","部署","作成日時","ステータス","数値データ","レポート種別"
"1","鈴木花子","人事部","2025-07-15 12:29:13","注意","84","Daily"
"2","佐藤次郎","営業部","2025-07-14 12:29:13","注意","99","Daily"
"3","鈴木花子","経理部","2025-07-13 12:29:13","正常","72","Daily"
"4","高橋美咲","営業部","2025-07-12 12:29:13","注意","65","Daily"
"5","佐藤次郎","総務部","2025-07-11 12:29:13","正常","55","Daily"
"6","田中太郎","営業部","2025-07-10 12:29:13","注意","39","Daily"
"7","田中太郎","営業部","2025-07-09 12:29:13","警告","62","Daily"
"8","渡辺健一","人事部","2025-07-08 12:29:13","警告","85","Daily"
"9","鈴木花子","総務部","2025-07-07 12:29:13","警告","22","Daily"
"10","田中太郎","総務部","2025-07-06 12:29:13","注意","76","Daily"
"11","高橋美咲","営業部","2025-07-05 12:29:13","注意","75","Daily"
"12","高橋美咲","経理部","2025-07-04 12:29:13","注意","66","Daily"
"13","鈴木花子","営業部","2025-07-03 12:29:13","正常","92","Daily"
"14","渡辺健一","経理部","2025-07-02 12:29:13","注意","12","Daily"
"15","高橋美咲","営業部","2025-07-01 12:29:13","警告","91","Daily"
"16","渡辺健一","人事部","2025-06-30 12:29:13","正常","85","Daily"
"17","高橋美咲","営業部","2025-06-29 12:29:13","注意","55","Daily"
"18","高橋美咲","経理部","2025-06-28 12:29:13","警告","52","Daily"
"19","佐藤次郎","総務部","2025-06-27 12:29:13","注意","18","Daily"
"20","鈴木花子","開発部","2025-06-26 12:29:13","警告","16","Daily"
"21","高橋美咲","開発部","2025-06-25 12:29:13","警告","39","Daily"
"22","佐藤次郎","総務部","2025-06-24 12:29:13","警告","25","Daily"
"23","渡辺健一","人事部","2025-06-23 12:29:13","警告","78","Daily"
"24","渡辺健一","総務部","2025-06-22 12:29:13","注意","27","Daily"
"25","田中太郎","経理部","2025-06-21 12:29:13","警告","91","Daily"
"26","高橋美咲","営業部","2025-06-20 12:29:13","注意","14","Daily"
"27","田中太郎","経理部","2025-06-19 12:29:13","注意","55","Daily"
"28","佐藤次郎","営業部","2025-06-18 12:29:13","正常","68","Daily"
"29","佐藤次郎","経理部","2025-06-17 12:29:13","注意","46","Daily"
"30","渡辺健一","営業部","2025-06-16 12:29:13","正常","46","Daily"
"31","田中太郎","営業部","2025-06-15 12:29:13","警告","87","Daily"
"32","田中太郎","開発部","2025-06-14 12:29:13","警告","61","Daily"
"33","高橋美咲","人事部","2025-06-13 12:29:13","警告","81","Daily"
"34","鈴木花子","人事部","2025-06-12 12:29:13","注意","81","Daily"
"35","渡辺健一","営業部","2025-06-11 12:29:13","正常","29","Daily"
"36","田中太郎","総務部","2025-06-10 12:29:13","注意","58","Daily"
"37","佐藤次郎","人事部","2025-06-09 12:29:13","注意","43","Daily"
"38","佐藤次郎","総務部","2025-06-08 12:29:13","警告","37","Daily"
"39","高橋美咲","営業部","2025-06-07 12:29:13","正常","81","Daily"
"40","渡辺健一","総務部","2025-06-06 12:29:13","警告","93","Daily"
"41","鈴木花子","総務部","2025-06-05 12:29:13","正常","10","Daily"
"42","田中太郎","人事部","2025-06-04 12:29:13","正常","61","Daily"
"43","高橋美咲","営業部","2025-06-03 12:29:13","警告","91","Daily"
"44","高橋美咲","営業部","2025-06-02 12:29:13","警告","49","Daily"
"45","鈴木花子","開発部","2025-06-01 12:29:13","警告","41","Daily"
"46","田中太郎","開発部","2025-05-31 12:29:13","注意","99","Daily"
"47","田中太郎","経理部","2025-05-30 12:29:13","注意","30","Daily"
"48","渡辺健一","開発部","2025-05-29 12:29:13","警告","35","Daily"
"49","渡辺健一","人事部","2025-05-28 12:29:13","警告","59","Daily"
"50","高橋美咲","人事部","2025-05-27 12:29:13","正常","71","Daily"
