"ユーザー名","表示名","部署","MFA状態","最終ログイン","アカウント状態","リスク"
"加藤masayuki@company.com","加藤正幸","開発部","有効","2025-05-31 02:32","無効","低"
"中村koichi@company.com","中村宏一","マーケティング部","確認中","2025-05-25 03:32","有効","低"
"高橋miyuki@company.com","高橋美由紀","IT部","無効","2025-05-29 23:32","有効","中"
"山口kaori@company.com","山口香織","営業部","無効","2025-06-15 02:32","有効","中"
"田中taro@company.com","田中太郎","人事部","有効","2025-06-01 23:32","有効","低"
"吉田minako@company.com","吉田美奈子","マーケティング部","確認中","2025-06-04 07:32","有効","中"
"渡辺hiroshi@company.com","渡辺弘志","開発部","有効","2025-06-04 23:32","有効","中"
"高橋miyuki@company.com","高橋美由紀","営業部","無効","2025-05-27 14:32","有効","中"
"西田masao@company.com","西田正雄","総務部","有効","2025-06-03 09:32","有効","低"
"岩井daisuke@company.com","岩井大輔","総務部","確認中","2025-06-07 20:32","有効","中"
"伊藤akira@company.com","伊藤明","総務部","有効","2025-06-10 21:32","無効","低"
"中村koichi@company.com","中村宏一","マーケティング部","無効","2025-06-08 02:32","無効","中"
"早川michiko@company.com","早川美智子","営業部","無効","2025-06-16 23:32","有効","中"
"中島masayuki@company.com","中島正幸","IT部","無効","2025-05-25 23:32","有効","中"
"加藤masayuki@company.com","加藤正幸","品質管理部","有効","2025-05-31 00:32","有効","中"
"小林yumi@company.com","小林ゆみ","開発部","確認中","2025-06-06 09:32","有効","低"
"村田miyuki@company.com","村田美由紀","営業部","有効","2025-05-26 21:32","有効","低"
"渡辺hiroshi@company.com","渡辺弘志","マーケティング部","確認中","2025-05-27 11:32","有効","低"
"木村kenta@company.com","木村健太","品質管理部","有効","2025-05-25 05:32","有効","低"
"木村kenta@company.com","木村健太","営業企画部","有効","2025-06-02 19:32","有効","低"
