"ユーザー名","ユーザープリンシパル名","Teams活動","活動レベル","活動スコア","ステータス","レポート日"
"ダミーユーザー 1","dummy1@mirai-const.co.jp","49","低","66","アクティブ","2025-07-19"
"ダミーユーザー 2","dummy2@mirai-const.co.jp","17","低","93","アクティブ","2025-07-19"
"ダミーユーザー 3","dummy3@mirai-const.co.jp","31","高","13","アクティブ","2025-07-19"
"ダミーユーザー 4","dummy4@mirai-const.co.jp","36","中","72","アクティブ","2025-07-19"
"ダミーユーザー 5","dummy5@mirai-const.co.jp","44","中","44","アクティブ","2025-07-19"
"ダミーユーザー 6","dummy6@mirai-const.co.jp","12","高","47","アクティブ","2025-07-19"
"ダミーユーザー 7","dummy7@mirai-const.co.jp","29","低","58","アクティブ","2025-07-19"
"ダミーユーザー 8","dummy8@mirai-const.co.jp","0","中","98","アクティブ","2025-07-19"
"ダミーユーザー 9","dummy9@mirai-const.co.jp","39","低","7","アクティブ","2025-07-19"
"ダミーユーザー 10","dummy10@mirai-const.co.jp","24","高","15","アクティブ","2025-07-19"
