"UserPrincipalName","DisplayName","Department","AccountEnabled","InactiveReason","RiskLevel","LastSignInDateTime","CreatedDateTime","AnalysisTimestamp"
"inactive1@mirai-const.co.jp","非アクティブユーザー 1","営業部","True","165日間サインインなし","中","2024/12/30 16:47:12","2024/06/13 16:47:12","2025/06/13 16:47:12"
"inactive2@mirai-const.co.jp","非アクティブユーザー 2","営業部","True","45日間サインインなし","低","2025/04/29 16:47:12","2024/06/13 16:47:12","2025/06/13 16:47:12"
"inactive3@mirai-const.co.jp","非アクティブユーザー 3","営業部","True","98日間サインインなし","中","2025/03/07 16:47:12","2024/06/13 16:47:12","2025/06/13 16:47:12"
"inactive4@mirai-const.co.jp","非アクティブユーザー 4","営業部","True","128日間サインインなし","中","2025/02/05 16:47:12","2024/06/13 16:47:12","2025/06/13 16:47:12"
"inactive5@mirai-const.co.jp","非アクティブユーザー 5","営業部","True","179日間サインインなし","中","2024/12/16 16:47:12","2024/06/13 16:47:12","2025/06/13 16:47:12"
"inactive6@mirai-const.co.jp","非アクティブユーザー 6","営業部","True","51日間サインインなし","低","2025/04/23 16:47:12","2024/06/13 16:47:12","2025/06/13 16:47:12"
"inactive7@mirai-const.co.jp","非アクティブユーザー 7","営業部","True","148日間サインインなし","中","2025/01/16 16:47:12","2024/06/13 16:47:12","2025/06/13 16:47:12"
"inactive8@mirai-const.co.jp","非アクティブユーザー 8","営業部","True","48日間サインインなし","低","2025/04/26 16:47:12","2024/06/13 16:47:12","2025/06/13 16:47:12"
"inactive9@mirai-const.co.jp","非アクティブユーザー 9","営業部","True","39日間サインインなし","低","2025/05/05 16:47:12","2024/06/13 16:47:12","2025/06/13 16:47:12"
"inactive10@mirai-const.co.jp","非アクティブユーザー 10","営業部","True","177日間サインインなし","中","2024/12/18 16:47:12","2024/06/13 16:47:12","2025/06/13 16:47:12"
"inactive11@mirai-const.co.jp","非アクティブユーザー 11","営業部","True","31日間サインインなし","低","2025/05/13 16:47:12","2024/06/13 16:47:12","2025/06/13 16:47:12"
"inactive12@mirai-const.co.jp","非アクティブユーザー 12","営業部","True","75日間サインインなし","低","2025/03/30 16:47:12","2024/06/13 16:47:12","2025/06/13 16:47:12"
"inactive13@mirai-const.co.jp","非アクティブユーザー 13","営業部","True","155日間サインインなし","中","2025/01/09 16:47:12","2024/06/13 16:47:12","2025/06/13 16:47:12"
"inactive14@mirai-const.co.jp","非アクティブユーザー 14","営業部","True","44日間サインインなし","低","2025/04/30 16:47:12","2024/06/13 16:47:12","2025/06/13 16:47:12"
"inactive15@mirai-const.co.jp","非アクティブユーザー 15","営業部","True","65日間サインインなし","低","2025/04/09 16:47:12","2024/06/13 16:47:12","2025/06/13 16:47:12"
