"UserPrincipalName","DisplayName","AccountEnabled","InactiveReason","RiskLevel","LastSignInDateTime","CreatedDateTime","AnalysisTimestamp","Note"
"inactive1@mirai-const.co.jp","非アクティブユーザー 1","True","158日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:55:38","2025/06/13 16:55:38","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive2@mirai-const.co.jp","非アクティブユーザー 2","True","52日間サインインなし","低","E3ライセンス制限により取得不可","2024/06/13 16:55:38","2025/06/13 16:55:38","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive3@mirai-const.co.jp","非アクティブユーザー 3","True","43日間サインインなし","低","E3ライセンス制限により取得不可","2024/06/13 16:55:38","2025/06/13 16:55:38","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive4@mirai-const.co.jp","非アクティブユーザー 4","True","179日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:55:38","2025/06/13 16:55:38","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive5@mirai-const.co.jp","非アクティブユーザー 5","True","123日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:55:38","2025/06/13 16:55:38","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive6@mirai-const.co.jp","非アクティブユーザー 6","True","84日間サインインなし","低","E3ライセンス制限により取得不可","2024/06/13 16:55:38","2025/06/13 16:55:38","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive7@mirai-const.co.jp","非アクティブユーザー 7","True","114日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:55:38","2025/06/13 16:55:38","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive8@mirai-const.co.jp","非アクティブユーザー 8","True","129日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:55:38","2025/06/13 16:55:38","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive9@mirai-const.co.jp","非アクティブユーザー 9","True","62日間サインインなし","低","E3ライセンス制限により取得不可","2024/06/13 16:55:38","2025/06/13 16:55:38","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive10@mirai-const.co.jp","非アクティブユーザー 10","True","87日間サインインなし","低","E3ライセンス制限により取得不可","2024/06/13 16:55:38","2025/06/13 16:55:38","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive11@mirai-const.co.jp","非アクティブユーザー 11","True","44日間サインインなし","低","E3ライセンス制限により取得不可","2024/06/13 16:55:38","2025/06/13 16:55:38","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive12@mirai-const.co.jp","非アクティブユーザー 12","True","128日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:55:38","2025/06/13 16:55:38","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive13@mirai-const.co.jp","非アクティブユーザー 13","True","165日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:55:38","2025/06/13 16:55:38","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive14@mirai-const.co.jp","非アクティブユーザー 14","True","113日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:55:38","2025/06/13 16:55:38","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
"inactive15@mirai-const.co.jp","非アクティブユーザー 15","True","104日間サインインなし","中","E3ライセンス制限により取得不可","2024/06/13 16:55:38","2025/06/13 16:55:38","Microsoft 365 E3では詳細なサインイン履歴の取得が制限されます"
