"UserPrincipalName","DisplayName","Department","JobTitle","AccountEnabled","LastSignInDateTime","DaysSinceLastSignIn","IsActive","ActivityLevel","CreatedDateTime","AnalysisTimestamp"
"user1@mirai-const.co.jp","サンプルユーザー 1","営業部","アシスタント","True","2025/06/05 16:53:51","8","True","中活動","2024/11/20 16:53:51","06/13/2025 16:53:51"
"user2@mirai-const.co.jp","サンプルユーザー 2","人事部","エンジニア","True","2025/05/29 16:53:51","15","True","中活動","2024/08/29 16:53:51","06/13/2025 16:53:51"
"user3@mirai-const.co.jp","サンプルユーザー 3","技術部","エンジニア","True","2025/05/22 16:53:51","22","True","中活動","2025/04/13 16:53:51","06/13/2025 16:53:51"
"user4@mirai-const.co.jp","サンプルユーザー 4","営業部","マネージャー","True","2025/05/21 16:53:51","23","True","中活動","2025/01/28 16:53:51","06/13/2025 16:53:51"
"user5@mirai-const.co.jp","サンプルユーザー 5","人事部","シニアエンジニア","True","2025/05/18 16:53:51","26","True","中活動","2024/11/08 16:53:51","06/13/2025 16:53:51"
"user6@mirai-const.co.jp","サンプルユーザー 6","営業部","エンジニア","True","2025/05/20 16:53:51","24","True","中活動","2025/02/12 16:53:51","06/13/2025 16:53:51"
"user7@mirai-const.co.jp","サンプルユーザー 7","管理部","アシスタント","True","2025/06/01 16:53:51","12","True","中活動","2025/02/09 16:53:51","06/13/2025 16:53:51"
"user8@mirai-const.co.jp","サンプルユーザー 8","管理部","アシスタント","True","2025/05/23 16:53:51","21","True","中活動","2024/08/12 16:53:51","06/13/2025 16:53:51"
"user9@mirai-const.co.jp","サンプルユーザー 9","管理部","マネージャー","True","2025/05/15 16:53:51","29","True","中活動","2024/09/30 16:53:51","06/13/2025 16:53:51"
"user10@mirai-const.co.jp","サンプルユーザー 10","人事部","マネージャー","True","2025/06/02 16:53:51","11","True","中活動","2024/12/20 16:53:51","06/13/2025 16:53:51"
"user11@mirai-const.co.jp","サンプルユーザー 11","管理部","エンジニア","True","2025/06/09 16:53:51","4","True","高活動","2024/07/01 16:53:51","06/13/2025 16:53:51"
"user12@mirai-const.co.jp","サンプルユーザー 12","営業部","マネージャー","True","2025/05/30 16:53:51","14","True","中活動","2024/11/14 16:53:51","06/13/2025 16:53:51"
"user13@mirai-const.co.jp","サンプルユーザー 13","経理部","マネージャー","True","2025/05/22 16:53:51","22","True","中活動","2024/09/14 16:53:51","06/13/2025 16:53:51"
"user14@mirai-const.co.jp","サンプルユーザー 14","経理部","アシスタント","True","2025/05/24 16:53:51","20","True","中活動","2024/06/15 16:53:51","06/13/2025 16:53:51"
"user15@mirai-const.co.jp","サンプルユーザー 15","技術部","シニアエンジニア","True","2025/06/12 16:53:51","1","True","高活動","2025/05/05 16:53:51","06/13/2025 16:53:51"
"user16@mirai-const.co.jp","サンプルユーザー 16","技術部","シニアエンジニア","True","2025/05/25 16:53:51","19","True","中活動","2024/12/07 16:53:51","06/13/2025 16:53:51"
"user17@mirai-const.co.jp","サンプルユーザー 17","管理部","マネージャー","True","2025/05/26 16:53:51","18","True","中活動","2025/02/18 16:53:51","06/13/2025 16:53:51"
"user18@mirai-const.co.jp","サンプルユーザー 18","経理部","スペシャリスト","True","2025/05/16 16:53:51","28","True","中活動","2025/01/17 16:53:51","06/13/2025 16:53:51"
"user19@mirai-const.co.jp","サンプルユーザー 19","技術部","スペシャリスト","True","2025/05/24 16:53:51","20","True","中活動","2024/11/04 16:53:51","06/13/2025 16:53:51"
"user20@mirai-const.co.jp","サンプルユーザー 20","人事部","マネージャー","True","2025/05/16 16:53:51","28","True","中活動","2024/11/19 16:53:51","06/13/2025 16:53:51"
"user21@mirai-const.co.jp","サンプルユーザー 21","人事部","シニアエンジニア","True","2025/05/26 16:53:51","18","True","中活動","2025/02/11 16:53:51","06/13/2025 16:53:51"
"user22@mirai-const.co.jp","サンプルユーザー 22","技術部","アシスタント","True","2025/05/18 16:53:51","26","True","中活動","2024/09/07 16:53:51","06/13/2025 16:53:51"
"user23@mirai-const.co.jp","サンプルユーザー 23","人事部","シニアエンジニア","True","2025/05/15 16:53:51","29","True","中活動","2024/12/28 16:53:51","06/13/2025 16:53:51"
"user24@mirai-const.co.jp","サンプルユーザー 24","経理部","スペシャリスト","True","2025/06/06 16:53:51","7","True","高活動","2025/02/06 16:53:51","06/13/2025 16:53:51"
"user25@mirai-const.co.jp","サンプルユーザー 25","技術部","アシスタント","True","2025/05/22 16:53:51","22","True","中活動","2025/02/23 16:53:51","06/13/2025 16:53:51"
"user26@mirai-const.co.jp","サンプルユーザー 26","経理部","マネージャー","True","2025/05/21 16:53:51","23","True","中活動","2024/08/16 16:53:51","06/13/2025 16:53:51"
"user27@mirai-const.co.jp","サンプルユーザー 27","経理部","アシスタント","True","2025/06/11 16:53:51","2","True","高活動","2024/06/28 16:53:51","06/13/2025 16:53:51"
"user28@mirai-const.co.jp","サンプルユーザー 28","技術部","マネージャー","True","2025/06/09 16:53:51","4","True","高活動","2025/01/28 16:53:51","06/13/2025 16:53:51"
"user29@mirai-const.co.jp","サンプルユーザー 29","管理部","マネージャー","True","2025/05/30 16:53:51","14","True","中活動","2025/01/21 16:53:51","06/13/2025 16:53:51"
"user30@mirai-const.co.jp","サンプルユーザー 30","営業部","マネージャー","True","2025/05/30 16:53:51","14","True","中活動","2025/04/10 16:53:51","06/13/2025 16:53:51"
"user31@mirai-const.co.jp","サンプルユーザー 31","管理部","アシスタント","True","2025/05/26 16:53:51","18","True","中活動","2024/11/16 16:53:51","06/13/2025 16:53:51"
"user32@mirai-const.co.jp","サンプルユーザー 32","人事部","アシスタント","True","2025/05/25 16:53:51","19","True","中活動","2025/01/13 16:53:51","06/13/2025 16:53:51"
"user33@mirai-const.co.jp","サンプルユーザー 33","経理部","マネージャー","True","2025/06/04 16:53:51","9","True","中活動","2025/04/07 16:53:51","06/13/2025 16:53:51"
"user34@mirai-const.co.jp","サンプルユーザー 34","営業部","マネージャー","True","2025/06/11 16:53:51","2","True","高活動","2025/02/20 16:53:51","06/13/2025 16:53:51"
"user35@mirai-const.co.jp","サンプルユーザー 35","技術部","アシスタント","True","2025/05/28 16:53:51","16","True","中活動","2024/12/01 16:53:51","06/13/2025 16:53:51"
