"ユーザー名","使用容量","利用率","ファイル数","最終同期","状態"
"渡辺hiroshi@company.com","10.8 GB","10.8%","1,355","2025-06-12 05:17","正常"
"鈴木ichiro@company.com","5.1 GB","5.1%","3,073","2025-06-10 13:17","正常"
"加藤masayuki@company.com","6.5 GB","6.5%","869","2025-06-03 12:17","正常"
"山田jiro@company.com","13.9 GB","13.9%","311","2025-05-19 23:17","正常"
"吉田minako@company.com","24.4 GB","24.4%","3,135","2025-06-15 03:17","正常"
"吉田minako@company.com","7.1 GB","7.1%","3,332","2025-06-12 22:17","正常"
"山田jiro@company.com","29.6 GB","29.6%","4,549","2025-05-19 02:17","正常"
"中村koichi@company.com","31.2 GB","31.2%","6,197","2025-06-12 13:17","正常"
"田中taro@company.com","20.9 GB","20.9%","8,002","2025-06-01 09:17","正常"
"渡辺hiroshi@company.com","37.3 GB","37.3%","131","2025-06-08 08:17","正常"
"高橋miyuki@company.com","26.5 GB","26.5%","6,587","2025-06-12 17:17","正常"
"高橋miyuki@company.com","45.4 GB","45.4%","2,100","2025-06-03 20:17","正常"
"渡辺hiroshi@company.com","17.2 GB","17.2%","854","2025-05-20 14:17","正常"
"吉田minako@company.com","23.7 GB","23.7%","9,846","2025-05-26 01:17","正常"
"加藤masayuki@company.com","47.3 GB","47.3%","1,516","2025-05-20 18:17","正常"
