"UserPrincipalName","DisplayName","Department","JobTitle","DriveId","DriveWebUrl","HasExternalSharing","ExternalShareCount","ExternalUserCount","PublicLinkCount","AnonymousLinkCount","SensitiveFileShareCount","SecurityRiskLevel","RiskFactors","LastExternalShareDate","ExternalDomains","RecommendedActions","AnalysisTimestamp"
"user1@miraiconst.onmicrosoft.com","サンプルユーザー1","技術部","部長","sample-drive-ee47ad90","https://miraiconst-my.sharepoint.com/personal/user1_miraiconst_onmicrosoft_com","False","0","0","0","0","0","正常","",,"","定期監視の継続","2025/06/13 11:47:32"
"user2@miraiconst.onmicrosoft.com","サンプルユーザー2","人事部","新入社員","sample-drive-09f85e41","https://miraiconst-my.sharepoint.com/personal/user2_miraiconst_onmicrosoft_com","False","0","0","0","0","0","正常","",,"","定期監視の継続","2025/06/13 11:47:32"
"user3@miraiconst.onmicrosoft.com","サンプルユーザー3","営業部","一般","sample-drive-22c515b9","https://miraiconst-my.sharepoint.com/personal/user3_miraiconst_onmicrosoft_com","False","0","0","0","0","0","正常","",,"","定期監視の継続","2025/06/13 11:47:32"
"user4@miraiconst.onmicrosoft.com","サンプルユーザー4","営業部","主任","sample-drive-f80769d5","https://miraiconst-my.sharepoint.com/personal/user4_miraiconst_onmicrosoft_com","False","0","0","0","0","0","正常","",,"","定期監視の継続","2025/06/13 11:47:32"
"user5@miraiconst.onmicrosoft.com","サンプルユーザー5","技術部","主任","sample-drive-66653114","https://miraiconst-my.sharepoint.com/personal/user5_miraiconst_onmicrosoft_com","False","0","0","0","0","0","正常","",,"","定期監視の継続","2025/06/13 11:47:32"
"user6@miraiconst.onmicrosoft.com","サンプルユーザー6","技術部","新入社員","sample-drive-dd20668a","https://miraiconst-my.sharepoint.com/personal/user6_miraiconst_onmicrosoft_com","True","1","2","1","0","0","低","サンプルデータ; 外部共有検出","2025/05/28 11:47:32","example.com; partner.co.jp","定期監視の継続","2025/06/13 11:47:32"
"user7@miraiconst.onmicrosoft.com","サンプルユーザー7","人事部","主任","sample-drive-3ec559e1","https://miraiconst-my.sharepoint.com/personal/user7_miraiconst_onmicrosoft_com","False","0","0","0","0","0","正常","",,"","定期監視の継続","2025/06/13 11:47:32"
"user8@miraiconst.onmicrosoft.com","サンプルユーザー8","営業部","主任","sample-drive-229fa138","https://miraiconst-my.sharepoint.com/personal/user8_miraiconst_onmicrosoft_com","False","0","0","0","0","0","正常","",,"","定期監視の継続","2025/06/13 11:47:32"
"user9@miraiconst.onmicrosoft.com","サンプルユーザー9","人事部","課長","sample-drive-cc6d6f2d","https://miraiconst-my.sharepoint.com/personal/user9_miraiconst_onmicrosoft_com","False","0","0","0","0","0","正常","",,"","定期監視の継続","2025/06/13 11:47:32"
"user10@miraiconst.onmicrosoft.com","サンプルユーザー10","営業部","一般","sample-drive-ab65a6f1","https://miraiconst-my.sharepoint.com/personal/user10_miraiconst_onmicrosoft_com","True","3","2","1","1","0","低","サンプルデータ; 外部共有検出","2025/06/09 11:47:32","example.com; partner.co.jp","定期監視の継続","2025/06/13 11:47:32"
