"ユーザー名","メールアドレス","メールボックスサイズGB","クォータGB","使用率","アイテム数","送信メール数_日","受信メール数_日","スパムメール数_日","アーカイブ有効","訴訟ホールド","最終アクセス"
"吉田昌子","user1@contoso.com","14.4","50","28.8","15305","32","150","33","有効","有効","2025-07-10 16:00:18"
"佐藤次郎","user2@contoso.com","45.62","50","91.2","46826","49","146","4","無効","無効","2025-07-10 16:00:18"
"吉田昌子","user3@contoso.com","12.66","50","25.3","20643","96","108","34","有効","有効","2025-07-09 16:00:18"
"伊藤光子","user4@contoso.com","29.09","50","58.2","4076","36","131","20","無効","有効","2025-07-10 16:00:18"
"中村真理","user5@contoso.com","45.26","50","90.5","16740","30","132","36","有効","無効","2025-07-12 16:00:18"
"山田和也","user6@contoso.com","2.29","50","4.6","9285","46","147","16","有効","有効","2025-07-14 16:00:18"
"鈴木花子","user7@contoso.com","38.97","50","77.9","42081","42","102","2","無効","無効","2025-07-09 16:00:18"
"田中太郎","user8@contoso.com","39.12","50","78.2","48806","10","178","0","有効","無効","2025-07-14 16:00:18"
"井上雅人","user9@contoso.com","42.73","50","85.5","5854","62","107","42","有効","無効","2025-07-09 16:00:18"
"山田和也","user10@contoso.com","7.93","50","15.9","49669","35","164","39","有効","無効","2025-07-15 16:00:18"
"小林秀樹","user11@contoso.com","35.54","50","71.1","46100","9","185","49","有効","無効","2025-07-11 16:00:18"
"木村優子","user12@contoso.com","3.01","50","6","20288","75","197","1","有効","無効","2025-07-09 16:00:18"
"高橋美咲","user13@contoso.com","16.21","50","32.4","8999","66","148","30","無効","無効","2025-07-10 16:00:18"
"小林秀樹","user14@contoso.com","28.9","50","57.8","19333","90","140","20","無効","無効","2025-07-15 16:00:18"
"木村優子","user15@contoso.com","43.77","50","87.5","26378","18","194","20","無効","無効","2025-07-14 16:00:18"
"山本健二","user16@contoso.com","40.76","50","81.5","10289","85","116","14","有効","無効","2025-07-11 16:00:18"
"木村優子","user17@contoso.com","31.67","50","63.3","45256","64","147","43","無効","無効","2025-07-09 16:00:18"
"松本由美","user18@contoso.com","0.59","50","1.2","44698","73","148","41","有効","有効","2025-07-11 16:00:18"
"木村優子","user19@contoso.com","40.5","50","81","3341","57","178","15","有効","無効","2025-07-12 16:00:18"
"田中太郎","user20@contoso.com","18.46","50","36.9","43596","60","58","38","有効","無効","2025-07-13 16:00:18"
"吉田昌子","user21@contoso.com","12.89","50","25.8","38883","41","119","6","無効","無効","2025-07-11 16:00:18"
"吉田昌子","user22@contoso.com","46.77","50","93.5","19015","33","193","20","無効","有効","2025-07-13 16:00:18"
"山田和也","user23@contoso.com","15.83","50","31.7","35039","25","92","41","無効","無効","2025-07-12 16:00:18"
"山本健二","user24@contoso.com","25.72","50","51.4","46679","93","174","11","無効","無効","2025-07-15 16:00:18"
"佐藤次郎","user25@contoso.com","31.23","50","62.5","28384","66","195","5","無効","有効","2025-07-13 16:00:18"
"吉田昌子","user26@contoso.com","27.36","50","54.7","20079","85","129","27","有効","無効","2025-07-12 16:00:18"
"木村優子","user27@contoso.com","30.89","50","61.8","48752","17","85","9","有効","無効","2025-07-15 16:00:18"
"山田和也","user28@contoso.com","4.37","50","8.7","7416","80","191","36","有効","無効","2025-07-13 16:00:18"
"山田和也","user29@contoso.com","21.07","50","42.1","47226","34","148","13","有効","無効","2025-07-14 16:00:18"
"伊藤光子","user30@contoso.com","33.44","50","66.9","46923","98","178","17","有効","有効","2025-07-14 16:00:18"
"中村真理","user31@contoso.com","47.92","50","95.8","46507","20","103","33","無効","無効","2025-07-14 16:00:18"
"山本健二","user32@contoso.com","26.81","50","53.6","49110","62","164","33","有効","無効","2025-07-15 16:00:18"
