"ユーザー名","メールアドレス","最終ログイン","ログイン回数","メール送信数","メール受信数","OneDrive使用量GB","アクティブステータス","MFA状態","リスクレベル"
"鈴木花子","user1@contoso.com","2025-07-03 16:00:16","168","7","359","12.86","アクティブ","有効","低"
"伊藤光子","user2@contoso.com","2025-06-17 16:00:16","162","10","279","43.68","非アクティブ","有効","高"
"井上雅人","user3@contoso.com","2025-07-11 16:00:16","136","119","201","42.59","アクティブ","有効","高"
"加藤明美","user4@contoso.com","2025-07-08 16:00:16","175","149","488","47.92","アクティブ","有効","低"
"田中太郎","user5@contoso.com","2025-07-02 16:00:16","49","96","292","25.46","アクティブ","有効","低"
"佐藤次郎","user6@contoso.com","2025-07-08 16:00:16","199","89","465","48.37","アクティブ","有効","低"
"山本健二","user7@contoso.com","2025-07-05 16:00:16","177","26","39","26.58","非アクティブ","有効","低"
"井上雅人","user8@contoso.com","2025-07-05 16:00:16","59","138","93","33.18","非アクティブ","有効","中"
"吉田昌子","user9@contoso.com","2025-07-06 16:00:16","22","53","229","41.73","アクティブ","有効","中"
"吉田昌子","user10@contoso.com","2025-07-08 16:00:16","173","6","487","14.42","アクティブ","有効","低"
"鈴木花子","user11@contoso.com","2025-07-08 16:00:16","163","85","441","32.06","非アクティブ","有効","中"
"井上雅人","user12@contoso.com","2025-07-15 16:00:16","81","36","254","29.32","アクティブ","有効","低"
"伊藤光子","user13@contoso.com","2025-06-23 16:00:16","12","68","430","9.4","アクティブ","無効","高"
"山田和也","user14@contoso.com","2025-07-03 16:00:16","58","90","235","1.89","非アクティブ","有効","中"
"渡辺健一","user15@contoso.com","2025-06-23 16:00:16","135","133","367","49.52","アクティブ","有効","高"
"伊藤光子","user16@contoso.com","2025-06-30 16:00:16","129","21","313","30.96","アクティブ","有効","低"
"中村真理","user17@contoso.com","2025-07-09 16:00:16","23","14","108","38.03","アクティブ","無効","高"
"佐藤次郎","user18@contoso.com","2025-06-21 16:00:16","50","139","378","40.12","アクティブ","有効","低"
"高橋美咲","user19@contoso.com","2025-07-09 16:00:16","192","76","139","32.22","アクティブ","有効","低"
